time,node
1667461022,1.4989
1667461021,0
1667461020,1.6674
1667461019,0.9996
1667461018,1.9994
1667461017,0
1667461016,1
1667461015,1.0001
1667461014,0
1667461013,0.7997
1667461012,2.0001
1667461011,0.8335
1667461010,0
1667461009,1
1667461008,0.9999
1667461007,2.0001
1667461006,1.142
1667461005,0
1667461004,1
1667461003,0
1667461002,0.7498
1667461001,2
1667461000,1.6672
1667460999,1.0003
1667460998,1
1667460997,0
1667460996,1.0002
1667460995,0.6667
1667460994,1.5003
1667460993,1.0001
1667460992,1.9999
1667460991,1.0002
1667460990,1.7137
1667460989,1.0007
1667460988,0.7994
1667460987,0.7501
1667460986,0.9991
1667460985,0
1667460984,0.7498
1667460983,1.2001
1667460982,0.8002
1667460981,0.3334
1667460980,0.7989
1667460979,1.0002
1667460978,0
1667460977,1
1667460976,0.9999
1667460975,1.8005
1667460974,0.9999
1667460973,0.9994
1667460972,0
1667460971,1.6004
1667460970,1.0001
1667460969,0
1667460968,1.9999
1667460967,5.9938
1667460966,1.0001
1667460965,0.6677
1667460964,1.4276
1667460963,1.0001
1667460962,0.5004
1667460961,0
1667460960,1.0001
1667460959,1.5994
1667460958,1.1986
1667460957,0
1667460956,0
1667460955,2
1667460954,1
1667460953,0
1667460952,2
1667460951,0
1667460950,1.0003
1667460949,0
1667460948,0.9992
1667460947,0.9999
1667460946,1
1667460945,0.6667
1667460944,1
1667460943,2.002
1667460942,0
1667460941,1.0001
1667460940,1.3331
1667460939,0.8001
1667460938,1.9982
1667460937,0
1667460936,1.0001
1667460935,0.6001
1667460934,1.6668
1667460933,1.0002
1667460932,0.8332
1667460931,0.9997
1667460930,0.7502
1667460929,0.8001
1667460928,0.9997
1667460927,0
1667460926,0.5005
1667460925,1.0001
1667460924,0.9996
1667460923,0.8005
1667460922,1.2004
1667460921,0
1667460920,1.0004
1667460919,0.6
1667460918,1.3324
1667460917,0
1667460916,1.0003
1667460915,0.5716
1667460914,1
1667460913,0.6666
1667460912,0.7509
1667460911,1.9997
1667460910,0.9999
1667460909,0
1667460908,0.9996
1667460907,0.572
1667460906,0.8335
1667460905,0
1667460904,0.9996
1667460903,0
1667460902,1.5991
1667460901,1.0001
1667460900,1.3328
1667460899,0.4
1667460898,0
1667460897,1.0005
1667460896,1.9988
1667460895,0.5999
1667460894,0
1667460893,2.0004
1667460892,0.7999
1667460891,0
1667460890,0.9994
1667460889,0.9999
1667460888,0
1667460887,0.5998
1667460886,2.0001
1667460885,1.6
1667460884,1.0004
1667460883,2.4997
1667460882,0.4998
1667460881,0.9998
1667460880,1.2004
1667460879,1.0001
1667460878,0
1667460877,1.0001
1667460876,2.9979
1667460875,3.0006
1667460874,1.4289
1667460873,2.9995
1667460872,2.0002
1667460871,0.9999
1667460870,3.0004
1667460869,1.1237
1667460868,1.0004
1667460867,0.9999
1667460866,2.0006
1667460865,1
1667460864,1.7141
1667460863,1.0001
1667460862,2.8574
1667460861,1.6001
1667460860,0.9999
1667460859,1
1667460858,1.6659
1667460857,1
1667460856,0.9999
1667460855,1.9996
1667460854,1.9994
1667460853,1.0004
1667460852,0.7999
1667460851,3.5507
1667460850,1.0003
1667460849,3.0003
1667460848,1.5992
1667460847,0.8014
1667460846,1.9953
1667460845,1.0001
1667460844,1
1667460843,1
1667460842,0.999
1667460841,1.6018
1667460840,0.9999
1667460839,0.9999
1667460838,3.0003
1667460837,2.0003
1667460836,1.6661
1667460835,2
1667460834,0.9992
1667460833,5.0029
1667460832,2.5013
1667460831,0.5997
1667460830,0
1667460829,0.4999
1667460828,1.0002
1667460827,0.5998
1667460826,0.7494
1667460825,0.7149
1667460824,0.6682
1667460823,1.9988
1667460822,1.4994
1667460821,1
1667460820,1.5998
1667460819,1.0002
1667460818,16.9963
1667460817,0
1667460816,0.8001
1667460815,0.9996
1667460814,0
1667460813,0.5997
1667460812,0.9992
1667460811,1.0004
1667460810,0.9994
1667460809,0.9999
1667460808,1.1436
1667460807,0
1667460806,2.0001
1667460805,0.9999
1667460804,0.9989
1667460803,0.8
1667460802,1
1667460801,2.0005
1667460800,0
1667460799,1
1667460798,6.0025
1667460797,1.4989
1667460796,1.669
1667460795,0.9997
1667460794,1
1667460793,0.8334
1667460792,1
1667460791,2.2887
1667460790,2.4997
1667460789,0.75
1667460788,2.1437
1667460787,1.429
1667460786,2.9939
1667460785,0.8002
1667460784,1.0002
1667460783,0.9999
1667460782,1.9998
1667460781,20.129
1667460780,3.9991
1667460779,0.9996
1667460778,0.9999
1667460777,0
1667460776,0.9999
1667460775,0.7994
1667460774,2
1667460773,0
1667460772,0.6006
1667460771,0.9999
1667460770,0.8574
1667460769,0
1667460768,1.332
1667460767,0.6001
1667460766,1.0003
1667460765,0.9998
1667460764,0.9996
1667460763,1
1667460762,0.6667
1667460761,1.0001
1667460760,1.6666
1667460759,0
1667460758,1
1667460757,0
1667460756,0.7505
1667460755,3.0014
1667460754,0.999
1667460753,1
1667460752,1.4997
1667460751,0.9998
1667460750,0.6256
1667460749,0.9993
