peer number,instance,avg,med,90th percentile,max,min
2,crdt-cs,0.8492462311557789,1.0,1.0,2.0,0.0
2,crdt-p2p,0.9095477386934674,1.0,1.0,3.0,0.0
2,ot,0.7035175879396985,1.0,1.0,10.0,0.0
4,crdt-cs,0.8680555555555556,1.0,1.0,3.0,0.0
4,crdt-p2p,0.8525316455696202,1.0,1.0,3.0,0.0
4,ot,0.7044303797468354,1.0,1.0,2.0,0.0
8,crdt-cs,0.8225347661188369,1.0,1.0,3.0,0.0
8,crdt-p2p,0.8397597977243995,1.0,1.0,4.0,0.0
8,ot,0.6501901140684411,1.0,1.0,6.0,0.0
