parameter,peer number,instance,avg,med,max,min
cpu,2,crdt-ws,0.050859459459459466,0.0,1.0003,0.0
cpu,2,crdt-p2p,0.014157657657657656,0.0,1.0002,0.0
cpu,2,ot-ws,0.24455945945945948,0.0,1.9996,0.0
cpu-peers,2,peer-2-crdt-cs,1.0065216216216217,0.6666,28.1109,0.0
cpu-peers,2,peer-1-crdt-cs,0.9011468468468469,0.7992,12.0089,0.0
cpu-peers,2,peer-2-crdt-p2p,1.4613009009009008,0.8004,54.1622,0.0
cpu-peers,2,peer-1-crdt-p2p,1.505021621621622,1.0,26.8924,0.0
cpu-peers,2,peer-2-ot,3.025686486486486,2.0002,63.1992,0.0
cpu-peers,2,peer-1-ot,3.6150117117117126,2.9995,42.7169,0.0
mem-peers,2,peer-2-crdt-cs,1.407282882882892,1.5586000000000126,2.6640000000000157,-0.015699999999981173
mem-peers,2,peer-1-crdt-cs,2.5589819819819954,3.019500000000022,4.097700000000003,0.0
mem-peers,2,peer-2-crdt-p2p,0.1440936936936956,0.2734000000000094,1.3437000000000126,-1.2616999999999905
mem-peers,2,peer-1-crdt-p2p,0.5081468468468439,0.5819999999999936,1.8710999999999842,-1.1055000000000064
mem-peers,2,peer-2-ot,1.1055266666666757,1.0977000000000032,2.707000000000022,-0.10540000000000305
mem-peers,2,peer-1-ot,1.097371028037376,1.2382000000000062,3.0272999999999968,-1.1602000000000032
mem,2,crdt-ws,0.4093814774774771,0.4375,0.8671869999999995,-0.15234400000000115
mem,2,crdt-p2p,0.1121200540540546,0.0,0.23046900000000115,0.0
mem,2,ot-ws,4.2162510450450466,4.433593000000002,5.539061,0.0
network-in-peers,2,peer-2-crdt-cs,10.247935423423423,9.565633,23.0825,8.767282
network-in-peers,2,peer-1-crdt-cs,10.181208252252247,9.551155,21.83286,8.765936
network-in-peers,2,peer-2-crdt-p2p,13.09210564864865,12.448527,56.67888,8.766882
network-in-peers,2,peer-1-crdt-p2p,13.000583081081082,12.356893,56.31309,8.766877
network-in-peers,2,peer-2-ot,18.415170540540537,20.09177,37.20732,8.766748
network-in-peers,2,peer-1-ot,23.08884702702703,20.02507,204.0134,8.763452
network-in,2,crdt-ws,14.6468338018018,13.75861,46.02658,8.765956
network-in,2,crdt-p2p,11.531540945945943,8.768851,84.86545,8.766606
network-in,2,ot-ws,76.41563067567567,92.90058,171.1999,8.76771
network-out-peers,2,peer-2-crdt-cs,-10.207254153153155,-9.997038,-8.767282,-19.74129
network-out-peers,2,peer-1-crdt-cs,-9.511503873873872,-9.275103,-8.764511,-15.504211
network-out-peers,2,peer-2-crdt-p2p,-12.238267918918918,-12.196477,-8.766882,-48.44131
network-out-peers,2,peer-1-crdt-p2p,-12.280655162162162,-12.208124,-8.766877,-51.8814
network-out-peers,2,peer-2-ot,-20.819710792792787,-23.27805,-8.766748,-49.03035
network-out-peers,2,peer-1-ot,-26.788233945945944,-23.20201,-8.763452,-274.3643
network-out,2,crdt-ws,-14.213507837837836,-13.606427,-8.765956,-46.78476
network-out,2,crdt-p2p,-10.8993248018018,-8.768997,-8.766606,-95.82609
network-out,2,ot-ws,-70.99494499099099,-85.53979,-8.76771,-164.88986
cpu,4,crdt-ws,0.2969927927927928,0.0,1.9985,0.0
cpu,4,crdt-p2p,0.03302792792792793,0.0,1.0002,0.0
cpu,4,ot-ws,0.5352360360360361,0.4999,2.0001,0.0
cpu-peers,4,peer-2-crdt-cs,1.2239684684684684,0.8334,32.1033,0.0
cpu-peers,4,peer-1-crdt-cs,1.3166918918918922,0.9999,18.0528,0.0
cpu-peers,4,peer-2-crdt-p2p,2.4599549549549553,1.8748,59.4528,0.0
cpu-peers,4,peer-1-crdt-p2p,2.5582963963963974,1.7146,37.1584,0.0
cpu-peers,4,peer-2-ot,3.345647747747748,3.0,31.6714,0.0
cpu-peers,4,peer-1-ot,4.090672972972973,4.0007,16.0174,0.0
mem-peers,4,peer-2-crdt-cs,1.2044135135135172,1.1484000000000094,2.75,-0.7656000000000063
mem-peers,4,peer-1-crdt-cs,1.6490135135135264,1.7031000000000063,3.062400000000025,0.40620000000001255
mem-peers,4,peer-2-crdt-p2p,0.322250450450463,0.41020000000000323,1.582000000000022,-0.9686999999999841
mem-peers,4,peer-1-crdt-p2p,0.710709909909901,0.5585999999999842,2.781199999999984,-0.5860000000000127
mem-peers,4,peer-2-ot,3.928660360360357,3.9139999999999873,6.003899999999987,0.25780000000000314
mem-peers,4,peer-1-ot,3.8804324324324297,3.929699999999997,6.206999999999994,0.4375
mem,4,crdt-ws,0.6162376576576569,0.5234379999999987,1.9804689999999994,-0.5078120000000013
