parameter,peer number,instance,avg,med,max,min
network-out,4,crdt-p2p,-9.989201,-9.04976,-8.766931,-16.2804
network-out,4,ot-ws,-2291.6408254198477,-2069.273,-20.18932,-5736.748
network-out-peers,4,peer-2-crdt-cs,-12.740047259541985,-12.673042,-8.7679,-20.14748
network-out-peers,4,peer-1-crdt-cs,-12.494748832061068,-12.520553,-8.767292,-14.634743
network-out-peers,4,peer-2-crdt-p2p,-35.59697377099237,-36.62066,-9.775961,-46.57068
network-out-peers,4,peer-1-crdt-p2p,-35.38302170229008,-36.52389,-9.424258,-46.29156
network-out-peers,4,peer-2-ot,-552.1327208778627,-418.5384,-10.104098,-2921.646
network-out-peers,4,peer-1-ot,-551.3963137862595,-468.632,-10.103457,-2020.118
cpu,8,crdt-ws,0.858530534351145,0.7998,3.0011,0.0
cpu,8,crdt-p2p,0.030512213740458014,0.0,0.8891,0.0
cpu,8,ot-ws,2.3803480916030537,2.2862,6.0009,0.0
cpu-peers,8,peer-2-crdt-cs,51.695009923664124,44.9611,132.2635,0.0
cpu-peers,8,peer-1-crdt-cs,55.39248778625954,48.7266,131.8131,0.0
cpu-peers,8,peer-2-crdt-p2p,60.293816030534344,55.0012,154.8037,0.5714
cpu-peers,8,peer-1-crdt-p2p,62.67129236641222,56.2991,149.2576,0.8577
cpu-peers,8,peer-2-ot,63.55668854961832,63.3583,139.9772,0.5999
cpu-peers,8,peer-1-ot,68.95584427480915,66.6276,139.534,0.6665
mem,8,crdt-ws,3.4603709389312978,4.046878000000001,5.738277999999999,-0.45703099999999885
mem,8,crdt-p2p,0.23544842748091588,0.25,0.5039059999999989,0.0
mem,8,ot-ws,14.440392648854962,13.777346000000001,27.199216,-0.328125
mem-peers,8,peer-1-crdt-cs,25.216770992366406,25.992199999999997,37.359399999999994,0.6171999999999969
mem-peers,8,peer-2-crdt-cs,25.830503816793904,26.60930000000002,39.1953,0.8984000000000094
mem-peers,8,peer-1-crdt-p2p,25.828883206106877,26.496100000000013,38.359399999999994,1.6680000000000064
mem-peers,8,peer-2-crdt-p2p,25.303870229007632,25.980500000000006,37.9453,0.36719999999999686
mem-peers,8,peer-1-ot,31.952619083969477,33.13670000000002,49.039000000000016,3.003900000000016
mem-peers,8,peer-2-ot,26.27197938931299,24.714799999999997,41.43360000000001,0.10150000000001569
network-in,8,crdt-ws,176.0338995725191,181.2549,264.6155,8.767825
network-in,8,crdt-p2p,11.606341351145039,9.887776,30.56573,8.766548
network-in,8,ot-ws,32502.646735114507,27608.45,94488.55,36.2235
network-in-peers,8,peer-2-crdt-cs,19.151454984732823,19.09003,47.43646,8.767611
network-in-peers,8,peer-1-crdt-cs,18.729148122137403,18.84181,28.74819,8.767376
network-in-peers,8,peer-2-crdt-p2p,119.16337144274809,124.99319,169.0463,12.850795
network-in-peers,8,peer-1-crdt-p2p,119.38005567938933,125.86407,185.1248,13.525794
network-in-peers,8,peer-2-ot,41.24375280152672,42.71075,71.9392,9.527785
network-in-peers,8,peer-1-ot,40.22405499236642,42.20059,58.95429,9.526423
network-out,8,crdt-ws,-205.94583116030535,-214.7071,-8.767825,-304.5921
network-out,8,crdt-p2p,-11.01904354961832,-9.673207,-8.766548,-22.90664
network-out,8,ot-ws,-16722.963357862598,-14311.612,-31.61556,-47992.34
network-out-peers,8,peer-2-crdt-cs,-14.700829190839697,-14.872218,-8.767611,-21.01883
network-out-peers,8,peer-1-crdt-cs,-14.581056358778627,-14.787226,-8.767376,-18.24302
network-out-peers,8,peer-2-crdt-p2p,-118.4837810458015,-123.61158,-12.926406,-172.2771
network-out-peers,8,peer-1-crdt-p2p,-118.41815153435114,-124.28944,-12.805802,-182.9611
network-out-peers,8,peer-2-ot,-2125.1531622061066,-1362.018,-10.103772,-23151.04
network-out-peers,8,peer-1-ot,-1905.088479091603,-1562.9406,-10.102328,-11786.256
