parameter,peer number,instance,avg,med,max,min
cpu,2,crdt-ws,0.1203710743801653,0.0,1.0001,0.0
cpu,2,crdt-p2p,0.008973553719008265,0.0,0.7992,0.0
cpu,2,ot-ws,0.38913553719008265,0.0,1.9997,0.0
cpu-peers,2,peer-2-crdt-cs,1.3929487603305786,1.0,32.1678,0.0
cpu-peers,2,peer-1-crdt-cs,1.2557363636363639,1.0001,19.1023,0.0
cpu-peers,2,peer-2-crdt-p2p,1.330860330578512,1.0,30.1579,0.0
cpu-peers,2,peer-1-crdt-p2p,1.752112396694215,1.1122,26.0962,0.0
cpu-peers,2,peer-2-ot,2.6092066115702486,2.1433,29.1556,0.0
cpu-peers,2,peer-1-ot,3.4359661157024792,3.0013,11.0673,0.7142
mem,2,crdt-ws,0.4778212561983476,0.46875,1.078125,-0.28906299999999874
mem,2,crdt-p2p,0.0,0.0,0.0,0.0
mem,2,ot-ws,3.3527602479338854,3.7265700000000024,4.667970000000004,0.0
mem-peers,2,peer-1-crdt-cs,1.4688132231405018,1.5664000000000158,3.0235000000000127,-0.375
mem-peers,2,peer-2-crdt-cs,3.266646280991743,3.640599999999978,4.468699999999984,0.24609999999998422
mem-peers,2,peer-1-crdt-p2p,2.319352066115708,2.191400000000016,4.148400000000009,0.1600999999999999
mem-peers,2,peer-2-crdt-p2p,2.6717586776859403,2.757800000000003,4.570300000000003,0.3593999999999937
mem-peers,2,peer-1-ot,1.9132033057851143,2.023399999999981,3.5272999999999968,-0.375
mem-peers,2,peer-2-ot,2.85259917355371,3.042999999999978,4.785200000000003,0.23439999999999372
network-in,2,crdt-ws,19.336720322314047,18.33394,48.34787,8.767223
network-in,2,crdt-p2p,10.209106876033056,8.872487,39.6251,8.765826
network-in,2,ot-ws,82.60873437190084,92.36305,136.65625,15.535871
network-in-peers,2,peer-2-crdt-cs,11.3202953553719,10.48063,39.24859,8.767712
network-in-peers,2,peer-1-crdt-cs,10.835115661157024,10.375177,21.10673,8.746489
network-in-peers,2,peer-2-crdt-p2p,13.59100017355372,13.093469,39.25655,8.768127
network-in-peers,2,peer-1-crdt-p2p,13.173472685950411,13.051019,24.61114,8.747547
network-in-peers,2,peer-2-ot,19.417071487603305,20.04861,49.61803,9.519289
network-in-peers,2,peer-1-ot,19.19449561983471,20.04363,30.06545,9.519709
network-out,2,crdt-ws,-18.551066975206613,-18.07316,-8.767223,-30.7875
network-out,2,crdt-p2p,-9.493222454545453,-8.872487,-8.765826,-16.152435
network-out,2,ot-ws,-75.93779085123968,-84.81308,-14.383881,-126.18225
network-out-peers,2,peer-2-crdt-cs,-10.761287041322316,-10.579852,-8.767712,-16.445441
network-out-peers,2,peer-1-crdt-cs,-10.562652842975208,-10.387451,-8.746489,-13.332088
network-out-peers,2,peer-2-crdt-p2p,-12.924950661157025,-12.985029,-8.768127,-22.21188
network-out-peers,2,peer-1-crdt-p2p,-12.828216438016527,-13.028406,-8.747547,-17.4577
network-out-peers,2,peer-2-ot,-21.860510181818178,-23.38845,-10.095246,-40.04483
network-out-peers,2,peer-1-ot,-21.976890314049587,-23.32445,-10.095692,-32.21156
