parameter,peer number,instance,avg,med,max,min
cpu-peers,2,peer-2-crdt-cs,34.5571368159204,23.4178,142.5093,0.0
cpu-peers,2,peer-1-crdt-cs,33.370673134328364,24.0013,135.1419,0.0
cpu-peers,2,peer-2-crdt-p2p,39.983021393034825,34.1521,127.1638,0.0
cpu-peers,2,peer-1-crdt-p2p,38.409957213930355,33.0009,137.1089,0.0
cpu-peers,2,peer-2-ot,67.35123034825871,33.0013,174.1429,0.75
cpu-peers,2,peer-1-ot,28.236269154228857,28.4372,107.7988,0.0
cpu,2,crdt-cs,0.9328562189054727,0.9999,5.0,0.0
cpu,2,crdt-p2p,0.008705970149253731,0.0,0.9999,0.0
cpu,2,ot-ws,4.850587562189054,3.8901,15.004,0.0
mem-peers,2,peer-2-crdt-cs,14.707542786069663,14.984400000000022,20.996100000000013,0.0625
mem-peers,2,peer-1-crdt-cs,15.14892786069651,15.792900000000003,21.26169999999999,-0.2657000000000096
mem-peers,2,peer-2-crdt-p2p,15.497530348258698,16.335999999999984,20.796899999999994,0.6913999999999874
mem-peers,2,peer-1-crdt-p2p,17.659605970149247,17.5899,24.355499999999978,0.40629999999998745
mem-peers,2,peer-2-ot,32.35993880597015,21.703100000000006,69.05470000000003,0.6366999999999905
mem-peers,2,peer-1-ot,19.532099999999986,17.257799999999975,35.9023,0.44139999999998736
mem,2,crdt-cs,5.007715213930349,5.636716,7.339846000000001,-0.015625
mem,2,crdt-p2p,0.6666674477611946,0.20312600000000103,1.9882819999999999,0.0
mem,2,ot-ws,30.924323477611942,28.527342000000004,72.761722,-0.7460940000000011
network-in-peers,2,peer-2-crdt-cs,19.381997000000002,22.0204,120.95993,8.632267
network-in-peers,2,peer-1-crdt-cs,19.54965264179104,22.12252,82.04779,8.761617
network-in-peers,2,peer-2-crdt-p2p,28.26877860696517,33.67489,174.0288,8.765375
network-in-peers,2,peer-1-crdt-p2p,28.777271995024872,34.33489,168.4455,8.766919
network-in-peers,2,peer-2-ot,69.17451312935324,78.11309,328.879,8.766432
network-in-peers,2,peer-1-ot,55.308036611940295,52.96182,202.3035,8.766998
network-in,2,crdt-cs,73.26038137313432,92.67637,238.196,8.767069
network-in,2,crdt-p2p,10.719524338308457,8.929669,70.40409,8.767307
network-in,2,ot-ws,52318.08311144777,1759.23,189714.2,8.766926
network-out-peers,2,peer-2-crdt-cs,-19.63651362686567,-21.82859,-8.632267,-64.70407
network-out-peers,2,peer-1-crdt-cs,-19.889115786069652,-22.37443,-8.761617,-57.70888
network-out-peers,2,peer-2-crdt-p2p,-28.006649144278605,-34.26869,-8.765375,-164.33282
network-out-peers,2,peer-1-crdt-p2p,-28.069531099502488,-33.77163,-8.766919,-164.42183
network-out-peers,2,peer-2-ot,-25524.737074641787,-391.984,-8.766432,-92138.96
network-out-peers,2,peer-1-ot,-399.3544462636816,-369.1687,-8.766998,-16278.413
network-out,2,crdt-cs,-71.79449288557214,-91.94713,-8.767069,-295.2602
network-out,2,crdt-p2p,-10.244530517412933,-8.915507,-8.767307,-79.02957
network-out,2,ot-ws,-26494.76409137811,-1117.246,-8.766926,-95666.37
cpu-peers,4,peer-2-crdt-cs,58.47321442786069,41.9674,150.1108,0.0
cpu-peers,4,peer-1-crdt-cs,56.29912039800995,41.3452,143.1613,0.0
cpu-peers,4,peer-2-crdt-p2p,60.13163781094528,51.307,143.4254,0.0
cpu-peers,4,peer-1-crdt-p2p,60.147311940298515,42.8554,146.1538,0.0
cpu-peers,4,peer-2-ot,74.55411940298508,44.5937,174.8542,1.0001
cpu-peers,4,peer-1-ot,72.03497810945274,50.4225,174.0659,0.5002
cpu,4,crdt-cs,1.287168656716418,1.0001,4.9984,0.0
cpu,4,crdt-p2p,0.02487412935323383,0.0,1.0001,0.0
cpu,4,ot-ws,14.177431343283583,9.6961,45.9795,0.0
mem-peers,4,peer-2-crdt-cs,20.734066666666656,20.98830000000001,29.06249999999997,1.417900000000003
mem-peers,4,peer-1-crdt-cs,17.524628358208947,17.156299999999987,26.222700000000003,0.3399000000000001
mem-peers,4,peer-2-crdt-p2p,18.632553731343272,18.671899999999994,26.644499999999994,2.8241999999999905
mem-peers,4,peer-1-crdt-p2p,19.856304975124388,19.625,28.92180000000002,1.019500000000022
mem-peers,4,peer-2-ot,30.58538557213931,20.57420000000002,66.48040000000003,0.3515000000000157
mem-peers,4,peer-1-ot,31.759918407960217,22.457000000000022,68.23040000000003,0.5975999999999999
mem,4,crdt-cs,6.834578457711444,7.308598000000002,8.917968,-0.4023430000000001
mem,4,crdt-p2p,-0.03264920398009998,0.0,0.3125,-0.6875
mem,4,ot-ws,41.8839202238806,51.261720999999994,83.910161,-0.48828099999999885
network-in-peers,4,peer-2-crdt-cs,27.124405333333332,32.00104,158.76777,8.758119
network-in-peers,4,peer-1-crdt-cs,28.253195900497513,31.53385,303.0094,8.762152
network-in-peers,4,peer-2-crdt-p2p,95.64413788557214,86.46037,532.4616,8.766956
network-in-peers,4,peer-1-crdt-p2p,96.68659614427861,85.93292,527.127,8.766629
network-in-peers,4,peer-2-ot,103.01819129850747,106.84976,572.4736,8.767231
network-in-peers,4,peer-1-ot,96.60934254228856,96.16799,226.4426,8.765399
network-in,4,crdt-cs,176.64376262686568,216.3193,600.0829,8.766469
network-in,4,crdt-p2p,14.80732387562189,9.210418,253.0468,8.767236
network-in,4,ot-ws,167768.03860980598,21892.41,608254.2,8.767343
network-out-peers,4,peer-2-crdt-cs,-21.096757009950252,-23.69391,-8.758119,-58.85391
