time,node
1667408772,null
1667408771,null
1667408770,null
1667408769,null
1667408768,null
1667408767,null
1667408766,null
1667408765,null
1667408764,null
1667408763,null
1667408762,null
1667408761,null
1667408760,null
1667408759,null
1667408758,null
1667408757,null
1667408756,null
1667408755,null
1667408754,null
1667408753,null
1667408752,null
1667408751,null
1667408750,null
1667408749,null
1667408748,null
1667408747,null
1667408746,null
1667408745,null
1667408744,null
1667408743,null
1667408742,null
1667408741,null
1667408740,null
1667408739,null
1667408738,null
1667408737,null
1667408736,null
1667408735,null
1667408734,null
1667408733,null
1667408732,null
1667408731,null
1667408730,null
1667408729,null
1667408728,null
1667408727,null
1667408726,null
1667408725,null
1667408724,null
1667408723,null
1667408722,null
1667408721,null
1667408720,null
1667408719,null
1667408718,null
1667408717,null
1667408716,null
1667408715,null
1667408714,null
1667408713,null
1667408712,null
1667408711,null
1667408710,null
1667408709,null
1667408708,null
1667408707,null
1667408706,null
1667408705,null
1667408704,null
1667408703,null
1667408702,null
1667408701,213.168
1667408700,213.168
1667408699,213.168
1667408698,212.9297
1667408697,212.9297
1667408696,212.9297
1667408695,212.9297
1667408694,212.9297
1667408693,212.9297
1667408692,212.9297
1667408691,213.1523
1667408690,213.1523
1667408689,213.1523
1667408688,212.6406
1667408687,212.3945
1667408686,212.3945
1667408685,212.3945
1667408684,212.3945
1667408683,212.3945
1667408682,212.3984
1667408681,212.3984
1667408680,212.3984
1667408679,212.8984
1667408678,212.8984
1667408677,212.8984
1667408676,212.6562
1667408675,212.6562
1667408674,212.6562
1667408673,212.6562
1667408672,212.6562
1667408671,212.6562
1667408670,212.6562
1667408669,212.6562
1667408668,212.6562
1667408667,212.6562
1667408666,212.6602
1667408665,212.7266
1667408664,212.4727
1667408663,212.4727
1667408662,211.2461
1667408661,211.2461
1667408660,211.2461
1667408659,211.2461
1667408658,211.2461
1667408657,211.2461
1667408656,211.2461
1667408655,211.2461
1667408654,211.25
1667408653,211.25
1667408652,210
1667408651,209.75
1667408650,209.75
1667408649,209.7461
1667408648,210.0117
1667408647,210.0117
1667408646,210.0117
1667408645,210.0117
1667408644,210.0117
1667408643,210.0117
1667408642,210.0117
1667408641,210.0117
1667408640,209.7617
1667408639,209.7617
1667408638,209.7656
1667408637,209.7656
1667408636,209.7656
1667408635,209.7656
1667408634,209.7656
1667408633,209.7656
1667408632,209.7656
1667408631,209.7656
1667408630,209.7656
1667408629,209.5234
1667408628,209.5234
1667408627,209.9805
1667408626,209.9805
1667408625,209.9805
1667408624,209.9805
1667408623,209.9805
1667408622,209.9844
1667408621,209.7695
1667408620,209.5273
1667408619,209.5273
1667408618,209.5273
1667408617,209.5273
1667408616,209.5273
1667408615,209.5273
1667408614,209.5273
1667408613,209.5273
1667408612,209.5273
1667408611,209.5273
1667408610,209.5273
1667408609,209.6758
1667408608,209.6758
1667408607,209.6758
1667408606,210.1172
1667408605,209.1797
1667408604,209.1797
1667408603,209.1797
1667408602,209.1797
1667408601,209.1797
1667408600,209.4258
1667408599,209.4648
1667408598,218.5391
1667408597,218.5391
1667408596,218.5391
1667408595,218.5391
1667408594,218.5898
1667408593,218.5898
1667408592,220.5859
1667408591,221.1953
1667408590,224.0234
1667408589,223.4883
1667408588,222.5352
1667408587,222.2852
1667408586,222.0352
1667408585,221.1211
1667408584,220.5195
1667408583,223.125
1667408582,221.6641
1667408581,225.3984
1667408580,223.8711
1667408579,223.2734
1667408578,222.1641
1667408577,222.293
1667408576,221.2812
1667408575,219.6367
1667408574,223.125
1667408573,222.0625
1667408572,221.1914
1667408571,222.8711
1667408570,224.4766
1667408569,223.2617
1667408568,221.9766
1667408567,224.9453
1667408566,223.7656
1667408565,223.1719
1667408564,222.918
1667408563,222.0664
1667408562,221.7656
1667408561,224.5938
1667408560,221.4961
1667408559,224.2852
1667408558,222.7109
1667408557,222.3398
1667408556,220.75
1667408555,220.1133
1667408554,219.5234
1667408553,218.6641
1667408552,221.5547
1667408551,223.8945
1667408550,222.6914
1667408549,222.2422
1667408548,221.6875
1667408547,220.5625
1667408546,221.9922
1667408545,220.6367
1667408544,223.4141
1667408543,222.5625
1667408542,221.3906
1667408541,220.5938
1667408540,221.4922
1667408539,221.1172
1667408538,221.2031
1667408537,218.0664
1667408536,218.1562
1667408535,220.5391
1667408534,217.6445
1667408533,219.8359
1667408532,221.2891
1667408531,218.7305
1667408530,220.0703
1667408529,219.6797
1667408528,218.4844
1667408527,218.8906
1667408526,220.4336
1667408525,221.8164
1667408524,219.8008
1667408523,217.6211
1667408522,220.2148
1667408521,217.1328
1667408520,217.9648
1667408519,217.5625
1667408518,216.8281
1667408517,217.8242
1667408516,218.2773
1667408515,216.7031
1667408514,216.1016
1667408513,218.6797
1667408512,216.7734
1667408511,217.9219
1667408510,218.0469
1667408509,216.918
1667408508,217.2305
1667408507,217.3711
1667408506,217.2617
1667408505,217.2461
1667408504,216.1992
1667408503,215.3047
1667408502,215.2539
1667408501,216.8086
1667408500,213.8398
1667408499,212.4688
1667408498,213.3555
1667408497,211.6992
1667408496,214.7695
1667408495,214.668
1667408494,213.4102
1667408493,213.7305
1667408492,212.7773
1667408491,212.8047
1667408490,212.7695
1667408489,211.6211
1667408488,210.043
1667408487,213.8555
1667408486,213.5938
1667408485,213.7969
1667408484,213.2227
1667408483,213.2031
1667408482,212.8008
1667408481,212.8594
1667408480,212.2773
1667408479,211.9609
1667408478,211.1211
1667408477,215.0117
1667408476,214.8359
1667408475,214.4648
1667408474,214.75
1667408473,213.3906
1667408472,212.875
1667408471,213.1133
1667408470,211.5195
1667408469,214.1328
1667408468,214.0898
1667408467,213.1445
1667408466,213.8008
1667408465,212.9219
1667408464,215.9727
1667408463,215.418
1667408462,213.9219
1667408461,215.8242
1667408460,213.3359
1667408459,214.8711
1667408458,212.1328
1667408457,211.8008
1667408456,216.4336
1667408455,214.7578
1667408454,214.375
1667408453,216.4336
1667408452,215.1094
1667408451,213.8516
1667408450,216.8828
1667408449,215.0117
1667408448,212.7695
1667408447,214.9414
1667408446,214.1914
1667408445,212.582
1667408444,216.9492
1667408443,215.6797
1667408442,213.2812
1667408441,213.3555
1667408440,215.6094
1667408439,213.9219
1667408438,214.8398
1667408437,215.5938
1667408436,214.5508
1667408435,213.0117
1667408434,211.5234
1667408433,214.6953
1667408432,213.7891
1667408431,211.543
1667408430,216.2695
1667408429,213.957
1667408428,213.7383
1667408427,212.1133
1667408426,211.2031
1667408425,214.9922
1667408424,213.7227
1667408423,213.0078
1667408422,211.9805
1667408421,208.8164
1667408420,214.7148
1667408419,213.4297
1667408418,212.0859
1667408417,210.2148
1667408416,209.2461
1667408415,212.5586
1667408414,211.957
1667408413,210.043
1667408412,209.5703
1667408411,208.6562
1667408410,208.2383
1667408409,204.8633
1667408408,209.7734
1667408407,208.7148
1667408406,207.9453
1667408405,206.9609
1667408404,205.1328
1667408403,203.7812
1667408402,202.8125
1667408401,200.7422
1667408400,197.4961
1667408399,196.4766
1667408398,196.4766
1667408397,196.4766
1667408396,196.4766
1667408395,196.4766
1667408394,196.4766
1667408393,196.4766
1667408392,196.2305
1667408391,196.2305
1667408390,196.2305
1667408389,196.2305
1667408388,196.2305
1667408387,196.2305
1667408386,196.2305
1667408385,196.2344
1667408384,196.2344
1667408383,196.0664
1667408382,196.3477
1667408381,196.3438
1667408380,196.3438
1667408379,196.3438
1667408378,196.3438
1667408377,196.3438
1667408376,196.0938
1667408375,196.0938
1667408374,196.0938
1667408373,196.0938
1667408372,196.0938
1667408371,196.0938
1667408370,196.0938
1667408369,196.5547
