time,node
1667468583,205.0977
1667468582,205.3633
1667468581,205.3125
1667468580,205.2656
1667468579,204.9727
1667468578,204.9844
1667468577,204.9414
1667468576,204.875
1667468575,205.1094
1667468574,205.0859
1667468573,205.0664
1667468572,205.2305
1667468571,205.1523
1667468570,205.1328
1667468569,205.0977
1667468568,205.0742
1667468567,205.4141
1667468566,205.4102
1667468565,205.4062
1667468564,205.4219
1667468563,205.4297
1667468562,205.8359
1667468561,205.8203
1667468560,205.8008
1667468559,205.7773
1667468558,205.8008
1667468557,205.0664
1667468556,205.4961
1667468555,205.4531
1667468554,205.4609
1667468553,205.4062
1667468552,205.3594
1667468551,205.3164
1667468550,205.3008
1667468549,204.9961
1667468548,204.9727
1667468547,204.9336
1667468546,204.918
1667468545,204.8672
1667468544,204.8398
1667468543,204.7812
1667468542,204.5898
1667468541,204.543
1667468540,204.4922
1667468539,204.4609
1667468538,204.5391
1667468537,204.4297
1667468536,204.8438
1667468535,205.1875
1667468534,204.9961
1667468533,204.9609
1667468532,204.9141
1667468531,204.8633
1667468530,204.8438
1667468529,204.8008
1667468528,204.7539
1667468527,204.6914
1667468526,204.6953
1667468525,204.9492
1667468524,204.9102
1667468523,204.8633
1667468522,204.8516
1667468521,204.8008
1667468520,204.457
1667468519,206.2266
1667468518,206.207
1667468517,206.1523
1667468516,206.1055
1667468515,206.0781
1667468514,206.1055
1667468513,206.0664
1667468512,206.0273
1667468511,205.9883
1667468510,205.9844
1667468509,205.9414
1667468508,205.8945
1667468507,205.8594
1667468506,205.8555
1667468505,205.7891
1667468504,206.2539
1667468503,206.2617
1667468502,206.082
1667468501,206.0312
1667468500,205.9922
1667468499,205.9531
1667468498,205.9141
1667468497,205.9062
1667468496,205.8672
1667468495,205.8125
1667468494,205.7695
1667468493,205.7461
1667468492,205.7148
1667468491,205.6719
1667468490,205.5742
1667468489,205.5586
1667468488,205.5078
1667468487,205.4766
1667468486,205.8945
1667468485,205.8867
1667468484,205.8438
1667468483,205.8086
1667468482,205.7852
1667468481,205.7578
1667468480,205.707
1667468479,205.6719
1667468478,205.625
1667468477,205.6172
1667468476,205.6289
1667468475,205.5938
1667468474,205.5547
1667468473,205.5352
1667468472,205.5078
1667468471,205.4531
1667468470,205.2148
1667468469,205.1953
1667468468,205.1484
1667468467,205.1211
1667468466,205.543
1667468465,205.5156
1667468464,205.4766
1667468463,205.4414
1667468462,205.4102
1667468461,205.3828
1667468460,205.3398
1667468459,205.2969
1667468458,205.0859
1667468457,205.0547
1667468456,205.0391
1667468455,204.9883
1667468454,204.9375
1667468453,204.9297
1667468452,204.9062
1667468451,204.8828
1667468450,204.8555
1667468449,204.8398
1667468448,204.7852
1667468447,205.2422
1667468446,205.2266
1667468445,205.2148
1667468444,205.1523
1667468443,205.1211
1667468442,205.0742
1667468441,205.5352
1667468440,205.4492
1667468439,205.168
1667468438,205.3906
1667468437,205.4688
1667468436,205.3164
1667468435,205.0703
1667468434,205.6172
1667468433,205.3008
1667468432,205.625
1667468431,204.9727
1667468430,205.1289
1667468429,204.8516
1667468428,205.5469
1667468427,205.8359
1667468426,205.9141
1667468425,204.8398
1667468424,205.8672
1667468423,206.0391
1667468422,204.8008
1667468421,205.7383
1667468420,205.9961
1667468419,206.0078
1667468418,205.2461
1667468417,205.457
1667468416,205.8438
1667468415,204.5938
1667468414,204.6406
1667468413,203.9375
1667468412,204.3164
1667468411,204.3359
1667468410,204.4102
1667468409,203.9961
1667468408,203.9609
1667468407,204.9727
1667468406,204.6953
1667468405,204.7969
1667468404,204.5039
1667468403,204.5977
1667468402,204.0312
1667468401,203.8203
1667468400,203.7422
1667468399,203.793
1667468398,203.7695
1667468397,203.5977
1667468396,203.6328
1667468395,203.8164
1667468394,203.375
1667468393,203.3438
1667468392,204.2773
1667468391,204.0898
1667468390,203.8906
1667468389,203.9844
1667468388,203.793
1667468387,203.9297
1667468386,203.8125
1667468385,203.582
1667468384,203.2188
1667468383,202.957
1667468382,202.9531
1667468381,202.9844
1667468380,202.9258
1667468379,202.9141
1667468378,203.0625
1667468377,202.8789
1667468376,202.8789
1667468375,202.8789
1667468374,202.875
1667468373,202.9023
1667468372,202.4609
1667468371,202.4609
1667468370,202.4531
1667468369,202.4727
1667468368,202.4336
1667468367,202.4141
1667468366,202.4102
1667468365,202.1992
1667468364,202.6602
1667468363,202.5273
1667468362,204.125
1667468361,203.9492
1667468360,204.5273
1667468359,204.2617
1667468358,203.8555
1667468357,204.0586
1667468356,202.9844
1667468355,203.6094
1667468354,203.5156
1667468353,203.4414
1667468352,203.0781
1667468351,202.7578
1667468350,202.4336
1667468349,203.3203
1667468348,202.9766
1667468347,202.7578
1667468346,202.3672
1667468345,202.2734
1667468344,201.7734
1667468343,201.4453
1667468342,201.582
1667468341,201.1016
1667468340,200.293
1667468339,200.0352
1667468338,199.9531
1667468337,200.4922
1667468336,200.4492
1667468335,200.4414
1667468334,200.0898
1667468333,200.082
1667468332,200.0508
1667468331,200
1667468330,199.9805
1667468329,199.9805
1667468328,199.9414
1667468327,199.8867
1667468326,199.6562
1667468325,199.625
1667468324,199.5625
1667468323,199.4688
1667468322,199.9219
1667468321,199.9102
1667468320,199.8594
1667468319,199.8086
1667468318,199.7617
1667468317,201.3359
1667468316,214.8008
1667468315,215.3438
1667468314,215.3984
1667468313,216.7578
1667468312,214.8828
1667468311,214.8086
1667468310,218.2891
1667468309,218.2969
