time,received,sent
1667405584,22.4967,-20.19263
1667405583,22.49804,-20.31775
1667405582,22.6409,-20.56513
1667405581,22.76325,-20.45948
1667405580,22.49597,-20.19197
1667405579,22.49875,-20.19447
1667405578,22.49811,-20.19389
1667405577,22.49314,-20.18943
1667405576,22.71807,-20.3018
1667405575,27.56288,-21.26593
1667405574,31.06781,-21.78936
1667405573,22.49562,-20.19165
1667405572,22.49589,-20.1919
1667405571,22.49717,-20.19305
1667405570,22.49506,-20.19115
1667405569,22.49672,-20.19265
1667405568,22.49645,-20.19241
1667405567,27.29474,-21.32592
1667405566,31.45347,-22.39792
1667405565,22.70334,-20.39934
1667405564,22.49601,-20.192
1667405563,22.49718,-20.19306
1667405562,22.49251,-20.18887
1667405561,22.49355,-20.1898
1667405560,22.4964,-20.19236
1667405559,22.71658,-20.69398
1667405558,22.90052,-21.115
1667405557,22.66047,-20.43544
1667405556,22.80444,-20.64538
1667405555,22.4976,-20.19344
1667405554,22.49362,-20.31373
1667405553,22.49688,-20.42092
1667405552,22.64411,-20.46384
1667405551,22.87773,-20.81314
1667405550,22.70298,-20.41975
1667405549,22.4936,-20.18985
1667405548,22.49648,-20.19243
1667405547,22.4966,-20.19254
1667405546,22.61075,-20.30653
1667405545,22.70498,-20.40081
1667405544,22.49431,-20.19048
1667405543,22.49533,-20.1914
1667405542,22.49595,-20.19195
1667405541,22.49914,-20.19482
1667405540,22.49532,-20.19139
1667405539,22.49431,-20.19049
1667405538,22.60829,-20.30433
1667405537,22.84777,-20.54397
1667405536,22.76808,-20.46383
1667405535,22.49714,-20.19303
1667405534,22.7183,-20.30198
1667405533,22.90988,-20.39859
1667405532,22.49774,-20.19356
1667405531,22.4972,-20.19308
1667405530,22.49596,-20.19197
1667405529,22.49475,-20.19087
1667405528,22.49871,-20.19443
1667405527,22.49442,-20.19058
1667405526,22.49197,-20.18838
1667405525,22.83535,-20.30597
1667405524,23.23019,-20.51147
1667405523,22.70655,-20.40222
1667405522,22.64421,-20.34003
1667405521,22.76323,-20.45947
1667405520,22.49787,-20.19368
1667405519,22.49713,-20.19301
1667405518,22.49265,-20.189
1667405517,22.49682,-20.19274
1667405516,22.49507,-20.19117
1667405515,27.37323,-21.43863
1667405514,31.59217,-22.59535
1667405513,22.72329,-20.39864
1667405512,22.49461,-20.19076
1667405511,22.49687,-20.19278
1667405510,22.49841,-20.19416
1667405509,22.49555,-20.1916
1667405508,22.71877,-20.30239
1667405507,43.93441,-24.61805
1667405506,61.20167,-27.95853
1667405505,22.60731,-20.19082
1667405504,22.8158,-20.30445
1667405503,22.69936,-20.39577
1667405502,22.49698,-20.19288
1667405501,22.60997,-20.30583
1667405500,22.70268,-20.39876
1667405499,22.60967,-20.19295
1667405498,22.81813,-20.30652
1667405497,22.70304,-20.39907
1667405496,22.49365,-20.18989
1667405495,22.49809,-20.19387
1667405494,22.49816,-20.19393
1667405493,22.64036,-20.33657
1667405492,22.76454,-20.46064
1667405491,22.49853,-20.19427
1667405490,22.49645,-20.1924
1667405489,22.49477,-20.19089
1667405488,22.49309,-20.18938
1667405487,22.61225,-20.30788
1667405486,22.70439,-20.40028
1667405485,22.49335,-20.18962
1667405484,22.49727,-20.19314
1667405483,22.49446,-20.19062
1667405482,22.49759,-20.19343
1667405481,22.49627,-20.19224
1667405480,60.23015,-53.60207
1667405479,217.5646,-193.2693
1667405478,440.9476,-391.9193
1667405477,591.9846,-526.1471
1667405476,719.5573,-639.457
1667405475,827.9123,-735.8633
1667405474,826.9512,-735.5053
1667405473,823.8745,-732.1095
1667405472,830.1471,-737.0517
1667405471,829.5064,-737.4379
1667405470,824.3322,-732.1825
1667405469,19715.59,-10213.781
1667405468,54808,-28292.31
1667405467,36071.7,-19243.22
1667405466,59243.75,-30222.81
1667405465,129576.61,-66057.17
1667405464,76653.14,-39353.18
1667405463,128096.96,-65112.54
1667405462,172779.2,-87756.46
1667405461,171240.5,-86327.67
1667405460,154336.76,-77743.09
1667405459,165038.96,-83234.22
1667405458,144410.54,-72952.91
1667405457,127681.18,-64502.15
1667405456,145324.25,-73341.19
1667405455,132562.7,-66880.87
