time,received,sent
1667412547,9.908429,-9.932309
1667412546,8.768831,-8.768831
1667412545,8.982266,-8.884816
1667412544,9.401037,-9.114487
1667412543,9.156307,-9.164431
1667412542,9.908343,-9.93222
1667412541,8.767888,-8.767888
1667412540,8.767908,-8.767908
1667412539,8.911673,-8.968524
1667412538,9.193105,-9.360254
1667412537,8.767528,-8.767528
1667412536,8.767285,-8.767285
1667412535,8.873811,-8.873811
1667412534,9.078966,-9.078966
1667412533,12.496515,-9.789285
1667412532,19.7271,-11.770329
1667412531,8.857079,-8.848957
1667412530,9.030727,-9.006849
1667412529,8.767455,-8.767455
1667412528,9.155927,-9.164048
1667412527,9.90858,-9.932459
1667412526,8.76775,-8.76775
1667412525,8.768256,-8.768256
1667412524,8.767516,-8.767516
1667412523,8.768241,-8.768241
1667412522,12.109156,-9.391922
1667412521,18.74497,-10.705415
1667412520,9.339809,-9.351111
1667412519,9.078292,-9.567774
1667412518,9.15576,-9.163882
1667412517,9.90835,-9.932228
1667412516,8.76848,-8.76848
1667412515,8.983054,-8.885569
1667412514,9.400039,-9.113523
1667412513,9.155891,-9.164013
1667412512,9.997962,-10.013718
1667412511,9.030876,-9.006999
1667412510,8.874979,-8.93183
1667412509,9.084104,-9.251253
1667412508,8.768293,-8.768293
1667412507,8.768199,-8.768199
1667412506,8.767635,-8.767635
1667412505,8.955499,-8.955499
1667412504,9.317516,-9.317516
1667412503,9.155306,-9.163428
1667412502,9.907972,-9.931849
1667412501,8.768193,-8.768193
1667412500,8.768042,-8.768042
1667412499,8.767846,-8.767846
1667412498,9.237238,-9.245361
1667412497,10.236258,-10.252012
1667412496,9.030522,-9.006645
1667412495,8.76868,-8.76868
1667412494,8.767048,-8.767048
1667412493,8.930518,-8.8493
1667412492,9.327069,-9.088286
1667412491,9.007543,-9.007543
1667412490,8.873135,-8.873135
1667412489,9.077556,-9.077556
1667412488,9.156039,-9.164161
1667412487,9.908492,-9.932371
1667412486,8.767974,-8.767974
1667412485,8.983483,-8.886002
1667412484,9.400964,-9.114445
1667412483,9.154966,-9.163087
1667412482,9.908133,-9.932011
1667412481,8.768067,-8.768067
1667412480,8.768348,-8.768348
1667412479,8.76743,-8.76743
1667412478,8.768014,-8.768014
1667412477,8.768308,-8.768308
1667412476,8.925766,-9.03944
1667412475,9.339486,-9.673812
1667412474,9.168289,-9.160167
1667412473,12.757855,-10.027646
1667412472,20.63804,-12.404255
1667412471,12.993267,-11.621072
1667412470,13.81021,-14.344968
1667412469,10.18265,-16.600205
1667412468,9.156069,-9.16419
1667412467,9.908511,-9.932389
